SKU,ASIN,Description,Category,Warehouse,loc,quantity,Available,Committed,PO Reordered,Low Stock Threshold,Price,avg cost,Weight,30 Day Shipments,TV,Length,Width,Height,UPC,Tags
129751,,Remedi M2 color: Glow in the Dark,,Distribution Warehouse,,25.000000,25.000000,0.000000,0.000000,1,0.00,0.00,0.1,0.00,0.00,3,1,5,,
132309,,TribeTokes Vape Oil Cartridges strain: CBD Shark (Indica),,Distribution Warehouse,,12.000000,12.000000,0.000000,0.000000,1,70.00,0.00,0.075,8.00,0.00,4,2,1,,
132892,,The Art of Cooking with Cannabis,,Distribution Warehouse,,36.000000,35.000000,1.000000,0.000000,1,29.99,0.00,0.165625,0.00,0.00,8,2,9,,
748323851519,,Willie's Remedy Whole Bean Full Spectrum Hemp Coffee roast: Medium,,Distribution Warehouse,,25.000000,25.000000,0.000000,0.000000,1,35.00,0.00,0.5,6.00,0.00,3,0,0,,
748323851526,,Willie's Remedy Whole Bean Full Spectrum Hemp Coffee roast: Dark,,Distribution Warehouse,,16.000000,16.000000,0.000000,0.000000,1,35.00,0.00,0.5,4.00,0.00,3,4,7,,
748323851533,,Willie's Remedy Whole Bean Full Spectrum Hemp Coffee roast: Decaf,,Distribution Warehouse,,7.000000,7.000000,0.000000,0.000000,1,35.00,0.00,0.5,2.00,0.00,3,4,7,,
80421,,RAW Rolling Tray,,Distribution Warehouse,,0.000000,0.000000,0.000000,0.000000,1,0.00,0.00,0.70625,1.00,0.00,14,11,2,716165154464,
AKBOBW3PK,,Box Wine Hemp Flower - Half Grammy 3pk,,Distribution Warehouse,,0.000000,0.000000,0.000000,0.000000,1,10.00,0.00,0.0,0.00,0.00,0,0,0,,
APPBANBLK187,,Franny's Farmacy Bandana color: Black,,Distribution Warehouse,,74.000000,74.000000,0.000000,0.000000,10,7.00,0.00,0.09375,12.00,0.00,6,2,1,,
APPBANGRN187,,Franny's Farmacy Bandana color: Green,,Distribution Warehouse,,76.000000,76.000000,0.000000,0.000000,10,7.00,0.00,0.09375,12.00,0.00,6,2,1,,
APPBANGRY187,,Franny's Farmacy Bandana color: Grey,,Distribution Warehouse,,65.000000,65.000000,0.000000,0.000000,10,7.00,0.00,0.09375,7.00,0.00,6,2,1,,
APPEX0101CM,,Asheville Extracts BHO CBD - Cherrymom 1 gram,,Distribution Warehouse,,8.000000,8.000000,0.000000,0.000000,1,65.00,0.00,0.075,1.00,0.00,2,2,1,,
APPEX0101CP,,Asheville Extracts BHO CBD - Carolina Peach 1 gram,,Distribution Warehouse,,0.000000,0.000000,0.000000,0.000000,1,32.50,0.00,0.0,0.00,0.00,0,0,0,,
APPEX0101T1,,Asheville Extracts BHO CBD - T1 1 gram,,Distribution Warehouse,,7.000000,7.000000,0.000000,0.000000,1,65.00,0.00,0.075,0.00,0.00,2,2,1,,
APPEX01FS,,Asheville Extracts BHO CBD strain-weight: Fruit Salad 1 gram,,Distribution Warehouse,,0.000000,0.000000,0.000000,0.000000,1,65.00,0.00,0.075,1.00,0.00,2,2,1,,
APPEX01SH,,Asheville Extracts BHO CBD strain-weight: Suver Haze 1 gram,,Distribution Warehouse,,3.000000,3.000000,0.000000,0.000000,1,65.00,0.00,0.075,0.00,0.00,2,2,1,,
APPEX0501CB,,Asheville Extracts BHO CBD - Cherry Blossom 0.5 gram,,Distribution Warehouse,,5.000000,5.000000,0.000000,0.000000,1,19.50,0.00,0.0,0.00,0.00,0,0,0,,
APPFFY1XL001,,Unisex Franny Farmacy Hemp T-Shirt size: XL,,Distribution Warehouse,,10.000000,10.000000,0.000000,0.000000,1,25.00,0.00,0.38125,1.00,0.00,0,0,0,,
APPFFYLRG001,,Unisex Franny Farmacy Hemp T-Shirt size: Large,,Distribution Warehouse,,17.000000,17.000000,0.000000,0.000000,1,25.00,0.00,0.38125,0.00,0.00,0,0,0,,
APPFFYMED001,,Unisex Franny Farmacy Hemp T-Shirt size: Medium,,Distribution Warehouse,,16.000000,16.000000,0.000000,0.000000,1,25.00,0.00,0.38125,0.00,0.00,0,0,0,,
APPFFYSML001,,Unisex Franny Farmacy Hemp T-Shirt size: Small,,Distribution Warehouse,,7.000000,7.000000,0.000000,0.000000,1,25.00,0.00,0.38125,0.00,0.00,0,0,0,,
APPFFYXXL001,,Unisex Franny Farmacy Hemp T-Shirt size: 2XL,,Distribution Warehouse,,0.000000,0.000000,0.000000,0.000000,1,25.00,0.00,0.38125,0.00,0.00,0,0,0,,
APPRAGLRGGRN,,Franny's Farmacy Baseball Tee - Envy Green size: Large,,Distribution Warehouse,,0.000000,0.000000,0.000000,0.000000,1,30.00,0.00,0.375,0.00,0.00,9,3,3,,
APPRAGMEDBLK,,Franny's Farmacy Baseball Tee - Vintage Black size: Medium,,Distribution Warehouse,,1.000000,1.000000,0.000000,0.000000,1,30.00,0.00,0.34375,0.00,0.00,9,3,3,,
APPRAGMEDGRN,,Franny's Farmacy Baseball Tee - Envy Green size: Medium,,Distribution Warehouse,,6.000000,6.000000,0.000000,0.000000,1,30.00,0.00,0.34375,2.00,0.00,9,3,3,,
APPRAGSMLBLK,,Franny's Farmacy Baseball Tee - Vintage Black size: Small,,Distribution Warehouse,,4.000000,4.000000,0.000000,0.000000,1,30.00,0.00,0.3125,4.00,0.00,9,3,3,,
APPRAGSMLGRN,,Franny's Farmacy Baseball Tee - Envy Green size: Small,,Distribution Warehouse,,10.000000,10.000000,0.000000,0.000000,1,30.00,0.00,0.3125,2.00,0.00,9,3,3,,
APPRAGXLRBLK,,Franny's Farmacy Baseball Tee - Vintage Black size: X-Large,,Distribution Warehouse,,0.000000,0.000000,0.000000,0.000000,1,30.00,0.00,0.40625,0.00,0.00,9,3,3,,
APPRAGXLRGRN,,Franny's Farmacy Baseball Tee - Envy Green size: X-Large,,Distribution Warehouse,,2.000000,2.000000,0.000000,0.000000,1,30.00,0.00,0.40625,0.00,0.00,9,3,3,,
APPVNLG003-1,,Franny's Farmacy Fitted Hemp V-Neck size: Large,,Distribution Warehouse,,27.000000,27.000000,0.000000,0.000000,1,25.00,0.00,0.26875,0.00,0.00,9,3,3,,
APPVNMD002-1,,Franny's Farmacy Fitted Hemp V-Neck size: Medium,,Distribution Warehouse,,27.000000,27.000000,0.000000,0.000000,1,25.00,0.00,0.2625,0.00,0.00,9,3,3,,
APPVNSM001-1,,Franny's Farmacy Fitted Hemp V-Neck size: Small,,Distribution Warehouse,,13.000000,13.000000,0.000000,0.000000,1,25.00,0.00,0.2375,0.00,0.00,9,3,3,,
APPVNXL004-1,,Franny's Farmacy Fitted Hemp V-Neck size: X-Large,,Distribution Warehouse,,40.000000,40.000000,0.000000,0.000000,1,25.00,0.00,0.275,0.00,0.00,9,3,3,,
BKPATGDE1834,,CBD: A Patients Guide,,Distribution Warehouse,,15.000000,14.000000,1.000000,0.000000,1,22.00,0.00,1.25,14.00,0.00,9,6,1,,
BLKFLOLFTAG0113,,Bulk Lifter Hemp Flower weight: 113g,,Distribution Warehouse,,5.000000,5.000000,0.000000,0.000000,1,672.00,0.00,0.28125,1.00,0.00,9,7,4,,
BLKFLOLFTAG0227,,Bulk Lifter Hemp Flower weight: 227g,,Distribution Warehouse,,1.000000,1.000000,0.000000,0.000000,1,1075.00,0.00,0.54375,1.00,0.00,11,9,4,,
BLKFLOLFTAG028,,Bulk Lifter Hemp Flower weight: 28g,,Distribution Warehouse,,7.000000,7.000000,0.000000,0.000000,1,210.00,0.00,0.09375,0.00,0.00,8,5,3,,
CHILIWTRMLN,,Franny's Small Batch Reserve Gummies: Chili Watermelon 50mg,,Distribution Warehouse,,171.000000,171.000000,0.000000,0.000000,1,6.50,0.00,0.0,91.00,0.00,0,0,0,,
CNC.D8.BDAYCAKE,,Franny's Delta-8 THC Cartridge strain: Birthday Cake,,Distribution Warehouse,,99.000000,93.000000,6.000000,168.000000,1,55.00,0.00,0.04125,69.00,0.00,5,3,1,,
